age,workclass,fnlwgt,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry,Class
39,Stategov,77516,Bachelors,13,Nevermarried,Admclerical,Notinfamily,White,Male,2174,0,40,UnitedStates,<=50K
50,Selfempnotinc,83311,Bachelors,13,Marriedcivspouse,Execmanagerial,Husband,White,Male,0,0,13,UnitedStates,<=50K
38,Private,215646,HSgrad,9,Divorced,Handlerscleaners,Notinfamily,White,Male,0,0,40,UnitedStates,<=50K
53,Private,234721,11th,7,Marriedcivspouse,Handlerscleaners,Husband,Black,Male,0,0,40,UnitedStates,<=50K
28,Private,338409,Bachelors,13,Marriedcivspouse,Profspecialty,Wife,Black,Female,0,0,40,Cuba,<=50K
37,Private,284582,Masters,14,Marriedcivspouse,Execmanagerial,Wife,White,Female,0,0,40,UnitedStates,<=50K
49,Private,160187,9th,5,Marriedspouseabsent,Otherservice,Notinfamily,Black,Female,0,0,16,Jamaica,<=50K
52,Selfempnotinc,209642,HSgrad,9,Marriedcivspouse,Execmanagerial,Husband,White,Male,0,0,45,UnitedStates,>50K
31,Private,45781,Masters,14,Nevermarried,Profspecialty,Notinfamily,White,Female,14084,0,50,UnitedStates,>50K
42,Private,159449,Bachelors,13,Marriedcivspouse,Execmanagerial,Husband,White,Male,5178,0,40,UnitedStates,>50K
37,Private,280464,Somecollege,10,Marriedcivspouse,Execmanagerial,Husband,Black,Male,0,0,80,UnitedStates,>50K
30,Stategov,141297,Bachelors,13,Marriedcivspouse,Profspecialty,Husband,AsianPacIslander,Male,0,0,40,India,>50K
23,Private,122272,Bachelors,13,Nevermarried,Admclerical,Ownchild,White,Female,0,0,30,UnitedStates,<=50K
32,Private,205019,Assocacdm,12,Nevermarried,Sales,Notinfamily,Black,Male,0,0,50,UnitedStates,<=50K
40,Private,121772,Assocvoc,11,Marriedcivspouse,Craftrepair,Husband,AsianPacIslander,Male,0,0,40,,>50K
34,Private,245487,7th8th,4,Marriedcivspouse,Transportmoving,Husband,AmerIndianEskimo,Male,0,0,45,Mexico,<=50K
25,Selfempnotinc,176756,HSgrad,9,Nevermarried,Farmingfishing,Ownchild,White,Male,0,0,35,UnitedStates,<=50K
32,Private,186824,HSgrad,9,Nevermarried,Machineopinspct,Unmarried,White,Male,0,0,40,UnitedStates,<=50K
38,Private,28887,11th,7,Marriedcivspouse,Sales,Husband,White,Male,0,0,50,UnitedStates,<=50K
43,Selfempnotinc,292175,Masters,14,Divorced,Execmanagerial,Unmarried,White,Female,0,0,45,UnitedStates,>50K
40,Private,193524,Doctorate,16,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,60,UnitedStates,>50K
54,Private,302146,HSgrad,9,Separated,Otherservice,Unmarried,Black,Female,0,0,20,UnitedStates,<=50K
35,Federalgov,76845,9th,5,Marriedcivspouse,Farmingfishing,Husband,Black,Male,0,0,40,UnitedStates,<=50K
43,Private,117037,11th,7,Marriedcivspouse,Transportmoving,Husband,White,Male,0,2042,40,UnitedStates,<=50K
59,Private,109015,HSgrad,9,Divorced,Techsupport,Unmarried,White,Female,0,0,40,UnitedStates,<=50K
56,Localgov,216851,Bachelors,13,Marriedcivspouse,Techsupport,Husband,White,Male,0,0,40,UnitedStates,>50K
19,Private,168294,HSgrad,9,Nevermarried,Craftrepair,Ownchild,White,Male,0,0,40,UnitedStates,<=50K
54,,180211,Somecollege,10,Marriedcivspouse,,Husband,AsianPacIslander,Male,0,0,60,South,>50K
39,Private,367260,HSgrad,9,Divorced,Execmanagerial,Notinfamily,White,Male,0,0,80,UnitedStates,<=50K
49,Private,193366,HSgrad,9,Marriedcivspouse,Craftrepair,Husband,White,Male,0,0,40,UnitedStates,<=50K
23,Localgov,190709,Assocacdm,12,Nevermarried,Protectiveserv,Notinfamily,White,Male,0,0,52,UnitedStates,<=50K
20,Private,266015,Somecollege,10,Nevermarried,Sales,Ownchild,Black,Male,0,0,44,UnitedStates,<=50K
45,Private,386940,Bachelors,13,Divorced,Execmanagerial,Ownchild,White,Male,0,1408,40,UnitedStates,<=50K
30,Federalgov,59951,Somecollege,10,Marriedcivspouse,Admclerical,Ownchild,White,Male,0,0,40,UnitedStates,<=50K
22,Stategov,311512,Somecollege,10,Marriedcivspouse,Otherservice,Husband,Black,Male,0,0,15,UnitedStates,<=50K
48,Private,242406,11th,7,Nevermarried,Machineopinspct,Unmarried,White,Male,0,0,40,PuertoRico,<=50K
21,Private,197200,Somecollege,10,Nevermarried,Machineopinspct,Ownchild,White,Male,0,0,40,UnitedStates,<=50K
19,Private,544091,HSgrad,9,MarriedAFspouse,Admclerical,Wife,White,Female,0,0,25,UnitedStates,<=50K
31,Private,84154,Somecollege,10,Marriedcivspouse,Sales,Husband,White,Male,0,0,38,,>50K
48,Selfempnotinc,265477,Assocacdm,12,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,40,UnitedStates,<=50K
31,Private,507875,9th,5,Marriedcivspouse,Machineopinspct,Husband,White,Male,0,0,43,UnitedStates,<=50K
53,Selfempnotinc,88506,Bachelors,13,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,40,UnitedStates,<=50K
24,Private,172987,Bachelors,13,Marriedcivspouse,Techsupport,Husband,White,Male,0,0,50,UnitedStates,<=50K
49,Private,94638,HSgrad,9,Separated,Admclerical,Unmarried,White,Female,0,0,40,UnitedStates,<=50K
25,Private,289980,HSgrad,9,Nevermarried,Handlerscleaners,Notinfamily,White,Male,0,0,35,UnitedStates,<=50K
57,Federalgov,337895,Bachelors,13,Marriedcivspouse,Profspecialty,Husband,Black,Male,0,0,40,UnitedStates,>50K
53,Private,144361,HSgrad,9,Marriedcivspouse,Machineopinspct,Husband,White,Male,0,0,38,UnitedStates,<=50K
44,Private,128354,Masters,14,Divorced,Execmanagerial,Unmarried,White,Female,0,0,40,UnitedStates,<=50K
41,Stategov,101603,Assocvoc,11,Marriedcivspouse,Craftrepair,Husband,White,Male,0,0,40,UnitedStates,<=50K
29,Private,271466,Assocvoc,11,Nevermarried,Profspecialty,Notinfamily,White,Male,0,0,43,UnitedStates,<=50K
25,Private,32275,Somecollege,10,Marriedcivspouse,Execmanagerial,Wife,Other,Female,0,0,40,UnitedStates,<=50K
18,Private,226956,HSgrad,9,Nevermarried,Otherservice,Ownchild,White,Female,0,0,30,,<=50K
47,Private,51835,Profschool,15,Marriedcivspouse,Profspecialty,Wife,White,Female,0,1902,60,Honduras,>50K
50,Federalgov,251585,Bachelors,13,Divorced,Execmanagerial,Notinfamily,White,Male,0,0,55,UnitedStates,>50K
47,Selfempinc,109832,HSgrad,9,Divorced,Execmanagerial,Notinfamily,White,Male,0,0,60,UnitedStates,<=50K
43,Private,237993,Somecollege,10,Marriedcivspouse,Techsupport,Husband,White,Male,0,0,40,UnitedStates,>50K
46,Private,216666,5th6th,3,Marriedcivspouse,Machineopinspct,Husband,White,Male,0,0,40,Mexico,<=50K
35,Private,56352,Assocvoc,11,Marriedcivspouse,Otherservice,Husband,White,Male,0,0,40,PuertoRico,<=50K
41,Private,147372,HSgrad,9,Marriedcivspouse,Admclerical,Husband,White,Male,0,0,48,UnitedStates,<=50K
30,Private,188146,HSgrad,9,Marriedcivspouse,Machineopinspct,Husband,White,Male,5013,0,40,UnitedStates,<=50K
30,Private,59496,Bachelors,13,Marriedcivspouse,Sales,Husband,White,Male,2407,0,40,UnitedStates,<=50K
32,,293936,7th8th,4,Marriedspouseabsent,,Notinfamily,White,Male,0,0,40,,<=50K
48,Private,149640,HSgrad,9,Marriedcivspouse,Transportmoving,Husband,White,Male,0,0,40,UnitedStates,<=50K
42,Private,116632,Doctorate,16,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,45,UnitedStates,>50K
29,Private,105598,Somecollege,10,Divorced,Techsupport,Notinfamily,White,Male,0,0,58,UnitedStates,<=50K
36,Private,155537,HSgrad,9,Marriedcivspouse,Craftrepair,Husband,White,Male,0,0,40,UnitedStates,<=50K
28,Private,183175,Somecollege,10,Divorced,Admclerical,Notinfamily,White,Female,0,0,40,UnitedStates,<=50K
53,Private,169846,HSgrad,9,Marriedcivspouse,Admclerical,Wife,White,Female,0,0,40,UnitedStates,>50K
49,Selfempinc,191681,Somecollege,10,Marriedcivspouse,Execmanagerial,Husband,White,Male,0,0,50,UnitedStates,>50K
25,,200681,Somecollege,10,Nevermarried,,Ownchild,White,Male,0,0,40,UnitedStates,<=50K
19,Private,101509,Somecollege,10,Nevermarried,Profspecialty,Ownchild,White,Male,0,0,32,UnitedStates,<=50K
31,Private,309974,Bachelors,13,Separated,Sales,Ownchild,Black,Female,0,0,40,UnitedStates,<=50K
29,Selfempnotinc,162298,Bachelors,13,Marriedcivspouse,Sales,Husband,White,Male,0,0,70,UnitedStates,>50K
23,Private,211678,Somecollege,10,Nevermarried,Machineopinspct,Notinfamily,White,Male,0,0,40,UnitedStates,<=50K
79,Private,124744,Somecollege,10,Marriedcivspouse,Profspecialty,Otherrelative,White,Male,0,0,20,UnitedStates,<=50K
27,Private,213921,HSgrad,9,Nevermarried,Otherservice,Ownchild,White,Male,0,0,40,Mexico,<=50K
40,Private,32214,Assocacdm,12,Marriedcivspouse,Admclerical,Husband,White,Male,0,0,40,UnitedStates,<=50K
67,,212759,10th,6,Marriedcivspouse,,Husband,White,Male,0,0,2,UnitedStates,<=50K
18,Private,309634,11th,7,Nevermarried,Otherservice,Ownchild,White,Female,0,0,22,UnitedStates,<=50K
31,Localgov,125927,7th8th,4,Marriedcivspouse,Farmingfishing,Husband,White,Male,0,0,40,UnitedStates,<=50K
18,Private,446839,HSgrad,9,Nevermarried,Sales,Notinfamily,White,Male,0,0,30,UnitedStates,<=50K
52,Private,276515,Bachelors,13,Marriedcivspouse,Otherservice,Husband,White,Male,0,0,40,Cuba,<=50K
46,Private,51618,HSgrad,9,Marriedcivspouse,Otherservice,Wife,White,Female,0,0,40,UnitedStates,<=50K
59,Private,159937,HSgrad,9,Marriedcivspouse,Sales,Husband,White,Male,0,0,48,UnitedStates,<=50K
44,Private,343591,HSgrad,9,Divorced,Craftrepair,Notinfamily,White,Female,14344,0,40,UnitedStates,>50K
53,Private,346253,HSgrad,9,Divorced,Sales,Ownchild,White,Female,0,0,35,UnitedStates,<=50K
49,Localgov,268234,HSgrad,9,Marriedcivspouse,Protectiveserv,Husband,White,Male,0,0,40,UnitedStates,>50K
33,Private,202051,Masters,14,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,50,UnitedStates,<=50K
30,Private,54334,9th,5,Nevermarried,Sales,Notinfamily,White,Male,0,0,40,UnitedStates,<=50K
43,Federalgov,410867,Doctorate,16,Nevermarried,Profspecialty,Notinfamily,White,Female,0,0,50,UnitedStates,>50K
57,Private,249977,Assocvoc,11,Marriedcivspouse,Profspecialty,Husband,White,Male,0,0,40,UnitedStates,<=50K
37,Private,286730,Somecollege,10,Divorced,Craftrepair,Unmarried,White,Female,0,0,40,UnitedStates,<=50K
28,Private,212563,Somecollege,10,Divorced,Machineopinspct,Unmarried,Black,Female,0,0,25,UnitedStates,<=50K
30,Private,117747,HSgrad,9,Marriedcivspouse,Sales,Wife,AsianPacIslander,Female,0,1573,35,,<=50K
34,Localgov,226296,Bachelors,13,Marriedcivspouse,Protectiveserv,Husband,White,Male,0,0,40,UnitedStates,>50K
29,Localgov,115585,Somecollege,10,Nevermarried,Handlerscleaners,Notinfamily,White,Male,0,0,50,UnitedStates,<=50K
48,Selfempnotinc,191277,Doctorate,16,Marriedcivspouse,Profspecialty,Husband,White,Male,0,1902,60,UnitedStates,>50K
37,Private,202683,Somecollege,10,Marriedcivspouse,Sales,Husband,White,Male,0,0,48,UnitedStates,>50K
48,Private,171095,Assocacdm,12,Divorced,Execmanagerial,Unmarried,White,Female,0,0,40,England,<=50K
32,Federalgov,249409,HSgrad,9,Nevermarried,Otherservice,Ownchild,Black,Male,0,0,40,UnitedStates,<=50K
76,Private,124191,Masters,14,Marriedcivspouse,Execmanagerial,Husband,White,Male,0,0,40,UnitedStates,>50K
44,Private,198282,Bachelors,13,Marriedcivspouse,Execmanagerial,Husband,White,Male,15024,0,60,UnitedStates,>50K
47,Selfempnotinc,149116,Masters,14,Nevermarried,Profspecialty,Notinfamily,White,Female,0,0,50,UnitedStates,<=50K
20,Private,188300,Somecollege,10,Nevermarried,Techsupport,Ownchild,White,Female,0,0,40,UnitedStates,<=50K
29,Private,103432,HSgrad,9,Nevermarried,Craftrepair,Notinfamily,White,Male,0,0,40,UnitedStates,<=50K
32,Selfempinc,317660,HSgrad,9,Marriedcivspouse,Craftrepair,Husband,White,Male,7688,0,40,UnitedStates,>50K
17,,304873,10th,6,Nevermarried,,Ownchild,White,Female,34095,0,32,UnitedStates,<=50K
30,Private,194901,11th,7,Nevermarried,Handlerscleaners,Ownchild,White,Male,0,0,40,UnitedStates,<=50K
31,Localgov,189265,HSgrad,9,Nevermarried,Admclerical,Notinfamily,White,Female,0,0,40,UnitedStates,<=50K
42,Private,124692,HSgrad,9,Marriedcivspouse,Handlerscleaners,Husband,White,Male,0,0,40,UnitedStates,<=50K
24,Private,432376,Bachelors,13,Nevermarried,Sales,Otherrelative,White,Male,0,0,40,UnitedStates,<=50K
