age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,length_of_stay,Class
69,F,Non-Caucasian,Greater than 45,Low,Male,0,-1,1,85058,1
34,F,Non-Caucasian,25 - 45,Low,Male,0,-1,3,870686,2
24,F,Non-Caucasian,Less than 25,Low,Male,4,-1,4,93810,2
44,M,Non-Caucasian,25 - 45,Low,Male,0,0,1,113918,1
41,F,Caucasian,25 - 45,Medium,Male,14,-1,6,544206,2
43,F,Non-Caucasian,25 - 45,Low,Male,3,-1,4,85610,1
39,M,Caucasian,25 - 45,Low,Female,0,-1,1,255192,1
27,F,Caucasian,25 - 45,Low,Male,0,-1,4,93351,1
23,M,Non-Caucasian,Less than 25,Medium,Male,3,0,6,360595,2
37,M,Caucasian,25 - 45,Low,Female,0,0,1,78256,1
41,F,Non-Caucasian,25 - 45,Low,Male,0,-1,4,51822,1
47,F,Caucasian,Greater than 45,Low,Female,1,-20,1,1232222,2
31,F,Non-Caucasian,25 - 45,Low,Male,7,22,3,269184,2
37,M,Non-Caucasian,25 - 45,Low,Male,0,0,1,20893,1
25,F,Non-Caucasian,25 - 45,High,Male,3,-1,10,98956,1
31,F,Caucasian,25 - 45,Medium,Male,6,-1,5,91002,2
31,F,Caucasian,25 - 45,Low,Male,5,-1,3,98399,2
64,F,Non-Caucasian,Greater than 45,Medium,Male,13,-1,6,95934,2
21,F,Non-Caucasian,Less than 25,High,Male,1,-1,9,268724,2
27,M,Caucasian,25 - 45,Low,Male,0,0,2,25033,2
21,F,Caucasian,Less than 25,Low,Female,0,-2,4,99672,1
24,F,Non-Caucasian,Less than 25,Low,Male,1,0,4,85995,2
43,M,Caucasian,25 - 45,Low,Male,1,-1,1,106128,1
32,M,Non-Caucasian,25 - 45,Low,Male,0,-1,3,154520,1
27,F,Non-Caucasian,25 - 45,Low,Male,8,-1,3,1468872,2
26,F,Non-Caucasian,25 - 45,Medium,Male,5,-1,7,81916,2
33,F,Non-Caucasian,25 - 45,High,Male,0,0,10,3265143,2
30,F,Caucasian,25 - 45,High,Male,9,0,9,3819850,2
32,F,Non-Caucasian,25 - 45,High,Male,4,-1,8,92993,2
55,F,Caucasian,Greater than 45,Low,Male,0,-1,1,186742,1
49,F,Non-Caucasian,Greater than 45,Low,Male,7,-1,3,338840,2
33,M,Caucasian,25 - 45,Medium,Female,4,-1,5,963428,2
24,M,Caucasian,Less than 25,Low,Male,1,0,2,97338,2
34,F,Non-Caucasian,25 - 45,High,Male,21,0,9,2877216,2
29,M,Caucasian,25 - 45,Low,Male,0,0,2,-21268,1
21,F,Non-Caucasian,Less than 25,High,Female,2,-1,8,6890032,1
